# chipvoice register log v1
# name: song-golden
# chip: 2a03
# clock: 1789773
# cycles: 7159092
# source: packages/chipvoice/test/golden.mjs
# notes: through the driver and the sequencer
0 4015 0F
6397653 4006 AB
6427483 4002 56
6427483 4006 52
6457313 4002 55
6457313 4006 FB
6487142 4002 52
6487142 4006 AB
6512262 4008 00
6512262 400B 03
6516972 4000 30
6516972 4006 52
6537381 4008 FF
6537381 400A F8
6537381 400B FB
6537381 4000 7F
6537381 4001 08
6537381 4002 1C
6537381 4003 F9
6537381 400C 3C
6537381 400E 09
6537381 400F F8
6546801 4006 FB
6567211 4000 7E
6567211 400C 3A
6576631 4006 AB
6597040 4000 7D
6597040 400C 37
6606460 4006 52
6626870 4000 7C
6626870 400C 34
6636290 4006 FB
6656700 4000 7B
6656700 400C 32
6666119 4006 AB
6686529 400C 31
6695949 4006 52
6716359 400C 30
6725779 4006 FB
6746188 4002 1A
6755608 4006 AB
6776018 4002 19
6785438 4006 52
6805847 4002 1A
6815267 4006 FB
6835677 4002 1C
6845097 4006 AB
6865506 4008 00
6865506 400B 03
6865506 4000 30
6874926 4006 52
6890626 4008 FF
6890626 400A F8
6890626 400B FB
6890626 4000 7F
6890626 4001 08
6890626 4002 FD
6890626 4003 F8
6890626 400C 36
6890626 400E 8D
6890626 400F F8
6904756 4006 FB
6920456 4000 7E
6920456 400C 33
6934585 4006 AB
6950285 4000 7D
6950285 400C 31
6964415 4006 52
6980115 4000 7C
6980115 400C 30
6994244 4006 FB
7009944 4000 7B
7024074 4006 AB
7053904 4006 52
7083733 4006 FB
7099433 4002 FB
7113563 4006 AB
7143392 4006 52
7173222 4006 FB
7188922 4002 FD
7203051 4006 AB
7218751 4008 00
7218751 400B 03
7218751 4002 FF
7232881 4006 52
7243871 4008 FF
7243871 400A F8
7243871 400B FB
7243871 400C 3D
7243871 400E 06
7243871 400F F8
7248581 4002 00
7248581 4003 F9
7262710 4006 FB
7273700 400C 3B
7273700 400E 04
7278410 4002 FF
7278410 4003 F8
7292540 4006 AB
7303530 400C 38
7303530 400E 03
7308240 4002 FD
7322370 4006 52
7333359 400C 34
7333359 400E 01
7338069 4002 FB
7352199 4006 FB
7363189 400C 32
7363189 400E 00
7382029 4006 AB
7393018 400C 30
7411858 4006 52
7427558 4002 FD
7441688 4006 FB
7457388 4002 FF
7471517 4006 AB
7487217 4002 00
7487217 4003 F9
7501347 4006 52
7517047 4002 FF
7517047 4003 F8
7531176 4006 FB
7546876 4002 FD
7561006 4006 AB
7571996 4008 00
7571996 400B 03
7576706 4000 30
7590835 4006 52
7620665 4006 FB
7650495 4006 AB
7680324 4006 52
7710154 4006 FB
7739983 4006 AB
7769813 4006 52
7799642 4006 FB
7829472 4006 AB
7859301 4006 52
7889131 4006 FB
7918961 4006 AB
7948790 4006 52
7978620 4006 FB
8008449 4006 AB
8038279 4006 52
8068108 4006 FB
8097938 4006 AB
8127767 4006 52
8157597 4006 FB
8187426 4006 AB
8217256 4006 52
8247086 4006 FB
8276915 4006 AB
8306745 4006 52
8336574 4006 FB
8366404 4006 AB
8396233 4006 52
8426063 4006 FB
8455892 4006 AB
8485722 4006 52
8515552 4006 FB
8545381 4006 AB
8575211 4006 52
8605040 4004 30
